estado,casos_2022,casos_2021,casos_2020,casos_totales,lat_capital,long_capital
AGUASCALIENTES,4,10,18,32,21.876,-102.296
BAJA CALIFORNIA,9,17,30,56,32.6633,-115.4678
BAJA CALIFORNIA SUR,61,129,188,378,24.1422,-110.3108
CAMPECHE,67,193,749,1009,19.85,-90.5306
CHIAPAS,835,1539,1878,4252,16.7528,-93.1167
CHIHUAHUA,6,6,14,26,28.6353,-106.0889
CIUDAD DE MÉXICO,23,61,70,154,19.4333,-99.1333
COAHUILA DE ZARAGOZA,48,1949,3418,5415,25.4333,-101
COLIMA,216,1056,2021,3293,19.2433,-103.7247
DURANGO,6,35,313,354,24.0167,-104.6667
ESTADO DE MÉXICO,435,571,878,1884,19.2925,-99.6569
GUANAJUATO,68,311,1246,1625,21.0178,-101.2567
GUERRERO,518,2039,6351,8908,17.55,-99.5
HIDALGO,83,209,1605,1897,20.1,-98.75
JALISCO,720,3857,22874,27451,20.6767,-103.3475
MICHOACÁN DE OCAMPO,389,1576,11437,13402,19.029,-102.2825
MORELOS,420,3258,3801,7479,18.9186,-99.2342
NAYARIT,126,686,6792,7604,21.5083,-104.8931
NUEVO LEÓN,172,920,7307,8399,25.6667,-100.3
OAXACA,672,3688,3364,7724,17.0833,-96.75
PUEBLA,114,842,4276,5232,19.0333,-98.1833
QUERÉTARO,24,52,614,690,20.5875,-100.3928
QUINTANA ROO,267,717,2037,3021,18.5036,-88.3053
SAN LUIS POTOSÍ,166,826,7050,8042,22.1511,-100.9761
SINALOA,515,4251,3118,7884,24.8069,-107.3939
SONORA,74,422,217,713,29.0989,-110.9542
TABASCO,1228,849,3118,5195,17.9892,-92.9281
TAMAULIPAS,158,1305,15731,17194,23.7333,-99.1333
TLAXCALA,0,5,12,17,19.3191,-98.1998
VERACRUZ,845,3423,8101,12369,19.54,-96.9275
YUCATÁN,157,378,1189,1724,20.97,-89.62
ZACATECAS,1,8,50,59,22.7736,-102.5736
