Entidad,HOMBRE2020,HOMBRE2021,HOMBRE2022,PromEdadHO2020,PromEdadHO2021,PromEdadHO2022,MUJER2020,MUJER2021,MUJER2022,PromEdadMu2020,PromEdadMu2021,PromEdadMu2022
AS,10,5,3,41,35.8,28.33,8,5,1,30,35.6,49
BC,13,4,3,24.77,32.75,27.67,17,15,7,31.82,28.47,35.86
BS,83,62,33,30.04,30.31,35,105,67,31,29.64,32.6,33.35
CC,387,96,38,26.71,28.71,28.63,365,97,29,28.27,32.14,32.41
CS,984,801,402,23.93,21.35,20.44,914,753,437,24.58,23.25,22.97
CH,7,1,5,27.43,49,35.2,8,5,1,29.88,25,40
DF,30,32,12,32.83,32.28,39.58,40,29,12,36.53,36.48,37.33
CL,1573,832,28,33.9,31.14,31.43,1854,1124,22,36.16,33.21,39.14
CM,1010,497,96,23.68,24.77,23.99,1022,566,123,25.84,28.55,23.28
DG,141,14,5,33.75,33,21.8,172,21,1,33.65,32.67,21
GT,532,143,33,31.77,31.92,30.85,717,169,35,33.9,34.77,30.51
GR,3159,1019,264,26.35,25.11,25.02,3217,1039,257,27.72,26.38,25.1
HG,683,83,29,32.66,34.08,31.59,922,126,54,32.15,34.78,27.37
JC,10500,1724,349,32.49,33,29.55,12470,2156,379,34.77,34.04,32.93
MC,442,229,166,30.14,31.29,29.87,436,342,270,32.15,30,31.09
MN,5051,714,200,29.73,29.15,28.8,6400,872,193,32.28,30.33,26.74
MS,1775,1480,183,30.46,26.96,26.51,2032,1788,238,32.12,30.34,30.1
NT,3091,331,50,30.82,30.85,24.5,3712,356,76,32.1,31.81,33.25
NL,3585,432,76,31.03,31.68,29.71,3724,492,99,34.02,34.5,34.98
OC,1764,1799,312,29.15,27.4,28.1,1615,1908,363,29.94,28.39,31.12
PL,1981,391,52,29.44,28.59,27.67,2302,458,63,31.14,33.07,28.57
QT,240,28,13,30.89,30.07,33.77,375,26,11,33.76,37.38,28.55
QR,1067,358,149,29.04,32.13,28.48,985,362,119,29.66,34.31,32.07
SP,3106,353,69,30.42,31.96,25.52,3957,478,99,32.44,34.08,36.05
SL,1426,1994,244,25.92,30,28.22,1705,2287,281,28.21,31.03,30.28
SR,114,192,41,32.19,28.8,27.85,110,245,37,31.98,33.02,31.03
TC,1539,430,588,26.24,27.69,26.61,1596,423,646,28.83,32.32,29.07
TS,7307,627,71,28.55,32.16,28.56,8472,682,87,30.75,33.52,28.84
TL,6,3,0,33,30,0,6,2,0,46.17,39.5,0
VZ,4000,1628,403,28.13,29.82,29.45,4121,1815,454,29.78,31.82,32.84
YN,658,179,84,29.07,31.52,29.98,535,205,73,28.53,31.45,30.6
ZS,23,5,1,35.87,32.4,59,27,3,0,36.96,32,0
